Post_ID,Date,Page,Pillar,Topic,Target_Persona,Why_This_Persona,Business_Stage,Business_Goal,Hook_Type,Archetype,CTA,Media_Type,Media_Description,Character_Count
POST-025,2025-11-28,Company,P4: Personal Stories,Hiring mistake $50K,"C-Suite, Sales",Hiring pain,Awareness→Trust,Learn from mistakes,Failure/Lesson,Story,Made hiring mistake?,None,Costly lessons resonate,1080
POST-026,2025-12-01,Personal,P5: Customer Success,Testimonial breakdown,"All personas",Need social proof,Consideration→Decision,Showcase results,Client Quote,Tactical/Story,What made this work?,Screenshot,Testimonial screenshot,880
POST-027,2025-12-02,Personal,P6: Community Building,Community resources,"All personas",Need learning resources,Awareness,Generous value,Resource List,List,What would you add?,None,Curated value list,800
POST-028,2025-12-02,Company,P7: Behind-the-Scenes,Process reveal,"Marketer, Founder",Want systems,Awareness,Show transparency,Process Breakdown,Story,How's your process?,Flowchart (optional),Process visual,890
POST-029,2025-12-03,Personal,P1: Tactical Education,Content workflow,"Marketer, Founder",Content creation chaos,Consideration,Build content expertise,Process How-To,Tactical,What's your workflow?,Workflow diagram,Content process flow,1100
POST-030,2025-12-03,Company,P2: Industry Insights,Remote work productivity,"C-Suite, IT",Remote work debates,Awareness,Data-driven insights,Data Analysis,Data/Insight,Remote or hybrid?,Chart,Productivity comparison,940
POST-031,2025-12-04,Personal,P3: Thought Leadership,Traditional sales returns,Sales Leader,Sales methodology shifts,Awareness,Contrarian take,Reverse Wisdom,Opinion,Old school or new?,None,Debate starter,920
POST-032,2025-12-05,Company,P4: Personal Stories,Product launch flopped,"Founder, Marketer",Launch anxiety,Awareness→Trust,Failure honesty,Failure/Lesson,Story,Ever had launch fail?,None,Failure = relatability,1050
POST-033,2025-12-08,Personal,P5: Customer Success,Before/after transformation,"All personas",Need visual proof,Consideration→Decision,Results demonstration,Transformation,Data/Insight,Seeing similar results?,Before/after visual,Transformation showcase,920
POST-034,2025-12-09,Personal,P6: Community Building,Q&A session,"All personas",Want engagement,Awareness,Community building,Open Question,Question,Ask me anything,None,Open dialogue,400
POST-035,2025-12-09,Company,P7: Behind-the-Scenes,Experiment results,"Marketer, Founder",Learn from tests,Awareness,Build-in-public,Real-Time,Story,What are you testing?,Data screenshot,Test results visual,850
POST-036,2025-12-10,Personal,P1: Tactical Education,Sales Navigator features,"Sales, Marketer",Underusing tool,Consideration,Tool mastery,Feature Tutorial,Tactical,Using Sales Navigator?,Screenshot,Feature walkthrough,1080
POST-037,2025-12-10,Company,P2: Industry Insights,CAC trends rising,"C-Suite, Marketer",CAC concerns,Awareness,Strategic insights,Trend Analysis,Data/Insight,What's your CAC?,Chart,CAC trend line,960
POST-038,2025-12-11,Personal,P3: Thought Leadership,Content marketing myths,"Marketer",Bad advice everywhere,Awareness,Myth-busting,Myth-Busting,Opinion,Which myth bothers you?,None,Debunking = value,980
POST-039,2025-12-12,Company,P4: Personal Stories,Quit corporate for startup,Founder,Considering leap,Awareness→Trust,Inspire courage,Career Transition,Story,Ever made the leap?,None,Big decision stories,1100
POST-040,2025-12-15,Personal,P5: Customer Success,Client 3x revenue repeat,"All personas",Need more social proof,Consideration→Decision,Reinforce results,Achievement Result,Tactical,Ready for similar results?,Logo/numbers,Another case study,940
POST-041,2025-12-16,Personal,P6: Community Building,Challenge poll repeat,"All personas",Re-engage audience,Awareness,Pulse check,Poll Question,Question,Vote now,LinkedIn Poll,4 new poll options,200
POST-042,2025-12-16,Company,P7: Behind-the-Scenes,Team meeting repeat,"All personas",Culture consistency,Awareness,Reinforce culture,Meeting Insight,Story,Your team do this?,Photo,Different meeting moment,790
POST-043,2025-12-17,Personal,P1: Tactical Education,Pipeline management,"Sales, Marketer",Pipeline chaos,Consideration,Sales expertise,System Breakdown,Tactical,How do you manage pipeline?,Spreadsheet visual,Pipeline tracker,1050
POST-044,2025-12-17,Company,P2: Industry Insights,Market consolidation,"C-Suite",M&A activity,Awareness,Strategic implications,Trend Analysis,Data/Insight,Seeing consolidation?,None,M&A trends analysis,980
POST-045,2025-12-18,Personal,P3: Thought Leadership,Daily posting repeat,"Marketer, Founder",Reinforcing message,Awareness,Consistency in POV,Unpopular Opinion,Opinion,Changed your mind?,None,Repeat key messages,880
POST-046,2025-12-19,Company,P4: Personal Stories,Lost client repeat,"C-Suite, Sales",Lesson reinforcement,Awareness→Trust,Key learnings echo,Failure Story,Story,Still losing clients?,None,Powerful stories repeat,1100
POST-047,2025-12-22,Personal,P5: Customer Success,Churn reduction repeat,"C-Suite, Sales",Reinforce capability,Consideration→Decision,Proof repetition,Achievement Result,Data/Insight,Need help with churn?,Chart,Churn metrics visual,990
POST-048,2025-12-23,Personal,P6: Community Building,Tool recommendations 2,"All personas",Different tools,Awareness,Continued value,Resource List,List,Use any of these?,None,New tool list,850
POST-049,2025-12-23,Company,P7: Behind-the-Scenes,Product update 2,"Founder, Marketer",Progress transparency,Awareness,Building momentum,Real-Time Update,Story,Excited about this?,Screenshot,Product progress,760
POST-050,2025-12-24,Personal,P1: Tactical Education,Objection handling,"Sales",Deal-killing objections,Consideration,Sales mastery,Playbook,Tactical,Toughest objection?,None,Objection framework,1120
POST-051,2025-12-24,Company,P2: Industry Insights,Tech predictions 2026,"C-Suite, IT",Future planning,Awareness,Forward-looking,Prediction,Data/Insight,Agree with predictions?,None,Bold predictions,1000
POST-052,2025-12-25,Personal,P3: Thought Leadership,Personal vs company repeat,"Founder",Ongoing debate,Awareness,Consistent POV,Contrarian,Opinion,Still think I'm wrong?,None,Revisit key debate,1030
POST-053,2025-12-26,Company,P4: Personal Stories,Unemployed journey repeat,Founder,Inspire again,Awareness→Trust,Success story echo,Transformation,Story,Update: where are you now?,None,Journey updates,1080
POST-054,2025-12-29,Personal,P5: Customer Success,Pipeline growth repeat,"Sales, Marketer",Consistent results,Consideration→Decision,Repetition = trust,Achievement Result,Tactical,Want these results?,Numbers visual,Pipeline success again,930
POST-055,2025-12-30,Personal,P6: Community Building,Creator shoutouts 2,"All personas",New creators,Awareness,Community love,Shoutout,List,Who are you following?,Headshots,5 new creators,620
POST-056,2025-12-30,Company,P7: Behind-the-Scenes,Culture moment 2,"All personas",Culture consistency,Awareness,Employer brand,Values Action,Story,Your culture?,Photo,New culture moment,710
POST-057,2025-12-31,Personal,P1: Tactical Education,Pricing strategy,"C-Suite, Sales",Pricing struggles,Consideration,Revenue expertise,Framework,Tactical,How do you price?,None,Pricing framework,1070
POST-058,2025-12-31,Company,P2: Industry Insights,Sales cycle repeat,"C-Suite, Sales",Year-end data,Awareness,Data reinforcement,Shocking Stat,Data/Insight,Year review?,Chart,2025 vs 2026 data,960
POST-059,2026-01-01,Personal,P3: Thought Leadership,Cold email dying repeat,"Sales, Marketer",New year prediction,Awareness,Bold stance,Bold Prediction,Opinion,2026 predictions?,None,Year starter debate,970
POST-060,2026-01-02,Company,P4: Personal Stories,Burnout recovery repeat,"All personas",New year resonance,Awareness→Trust,Mental health priority,Vulnerable Admission,Story,2026 burnout check?,None,Timely vulnerability,1040
POST-061,2026-01-05,Personal,P5: Customer Success,Testimonial breakdown 2,"All personas",More social proof,Consideration→Decision,Building trust,Client Quote,Tactical/Story,What results matter?,Screenshot,New testimonial,870
POST-062,2026-01-06,Personal,P6: Community Building,Resource list 2,"All personas",Start year resources,Awareness,Generous start,Resource List,List,2026 resources?,None,New year tools,810
POST-063,2026-01-06,Company,P7: Behind-the-Scenes,Process reveal 2,"Marketer, Founder",System sharing,Awareness,Transparency value,Process Breakdown,Story,Your 2026 systems?,Flowchart,Updated process,880
POST-064,2026-01-07,Personal,P1: Tactical Education,Onboarding checklist,"C-Suite, Sales",Onboarding broken,Consideration,Retention expertise,Checklist,Tactical,What's your onboarding?,Checklist visual,Onboarding steps,1040
POST-065,2026-01-07,Company,P2: Industry Insights,Algorithm update,"Marketer, Founder",Algorithm changes,Awareness,Timely insights,Trend Alert,Data/Insight,Noticed changes?,Diagram,Algorithm visual,910
POST-066,2026-01-08,Personal,P3: Thought Leadership,Hustle culture repeat,"Founder",Sustainable 2026,Awareness,Wellness message,Industry Critique,Opinion,Sustainable 2026?,None,Year positioning,940
POST-067,2026-01-09,Company,P4: Personal Stories,Hiring mistake repeat,"C-Suite",Hiring lessons,Awareness→Trust,Mistake learning,Failure/Lesson,Story,Hiring better in 2026?,None,Costly lesson echo,1070
POST-068,2026-01-12,Personal,P5: Customer Success,Before/after 2,"All personas",Visual proof repeat,Consideration→Decision,Results showcase,Transformation,Data/Insight,Your before/after?,Visual,New transformation,910
POST-069,2026-01-13,Personal,P6: Community Building,Q&A session 2,"All personas",Mid-month engagement,Awareness,Community touch,Open Question,Question,What's your Q1 question?,None,Open dialogue,380
POST-070,2026-01-13,Company,P7: Behind-the-Scenes,Experiment 2,"Marketer, Founder",Testing culture,Awareness,Innovation showcase,Real-Time,Story,What failed for you?,Data screenshot,New test results,840
POST-071,2026-01-14,Personal,P1: Tactical Education,Engagement framework repeat,"Marketer, Founder",Framework reinforcement,Awareness→Consideration,Core teaching,Numbered List,Tactical,Tried the framework?,None,Proven framework,1050
POST-072,2026-01-14,Company,P2: Industry Insights,Benchmarks Q1,"C-Suite, Marketer",Q1 performance check,Awareness,Quarterly insights,Data Analysis,Data/Insight,Q1 tracking?,Table/chart,Q1 benchmarks,950
POST-073,2026-01-15,Personal,P3: Thought Leadership,Traditional sales repeat,Sales Leader,Sales evolution,Awareness,Consistent POV,Reverse Wisdom,Opinion,What's working now?,None,Methods debate,910
POST-074,2026-01-16,Company,P4: Personal Stories,Launch failure repeat,Founder,Failure lesson echo,Awareness→Trust,Learn from mistakes,Failure/Lesson,Story,Launch lessons?,None,Failure = growth,1040
POST-075,2026-01-19,Personal,P5: Customer Success,Revenue 3x repeat,"All personas",Proof consistency,Consideration→Decision,Results repetition,Achievement Result,Tactical,Q1 results?,Logo/numbers,Case study 3,930
POST-076,2026-01-20,Personal,P6: Community Building,Poll 3,"All personas",Community pulse,Awareness,Engagement driver,Poll Question,Question,Vote + insight,LinkedIn Poll,New poll topic,200
POST-077,2026-01-20,Company,P7: Behind-the-Scenes,Team meeting 3,"All personas",Culture thread,Awareness,Culture consistency,Meeting Insight,Story,Team rituals?,Photo,Team moment 3,780
POST-078,2026-01-21,Personal,P1: Tactical Education,Email template repeat,"Sales, Marketer",Proven template,Consideration,Reliable tactic,Template Promise,Tactical,Template working?,Screenshot,Email template 2,1070
POST-079,2026-01-21,Company,P2: Industry Insights,AI impact update,"C-Suite, Sales",AI progression,Awareness,Future tracking,Trend Analysis,Data/Insight,AI updates?,AI visual,AI evolution,1010
POST-080,2026-01-22,Personal,P3: Thought Leadership,Content myths repeat,"Marketer",Myth persistence,Awareness,Consistent education,Myth-Busting,Opinion,Still believing myths?,None,Myth debunking 2,970
POST-081,2026-01-23,Company,P4: Personal Stories,Corporate to startup repeat,Founder,Journey milestone,Awareness→Trust,Progress update,Career Transition,Story,Update on journey?,None,Journey chapter 2,1090
POST-082,2026-01-26,Personal,P5: Customer Success,Churn reduction 3,"C-Suite, Sales",Triple social proof,Consideration→Decision,Consistent results,Achievement Result,Data/Insight,Churn solved?,Chart,Churn case 3,980
POST-083,2026-01-27,Personal,P6: Community Building,Tool recs 3,"All personas",Ongoing value,Awareness,Resource provider,Resource List,List,Your must-haves?,None,Tool list 3,840
POST-084,2026-01-27,Company,P7: Behind-the-Scenes,Product update 3,"Founder, Marketer",Momentum building,Awareness,Progress transparency,Real-Time Update,Story,Shipping soon?,Screenshot,Product milestone,750
POST-085,2026-01-28,Personal,P1: Tactical Education,Cold call script repeat,Sales Leader,Proven script,Consideration,Sales expertise,Template Promise,Tactical,Script results?,Script visual,Call framework 2,1140
POST-086,2026-01-28,Company,P2: Industry Insights,Remote work data 2,"C-Suite, IT",Ongoing debate,Awareness,Data insights,Data Analysis,Data/Insight,Remote working?,Chart,Updated remote data,930
POST-087,2026-01-29,Personal,P3: Thought Leadership,Daily posting 3,"Marketer, Founder",Message consistency,Awareness,Core belief,Unpopular Opinion,Opinion,Quality or quantity?,None,Reinforced stance,870
POST-088,2026-01-30,Company,P4: Personal Stories,Lost client 3,"C-Suite, Sales",Powerful lesson,Awareness→Trust,Key story echo,Failure Story,Story,Client retention?,None,Lesson reinforcement,1090
POST-089,2026-02-02,Personal,P5: Customer Success,Pipeline growth finale,"Sales, Marketer",Final proof,Consideration→Decision,Strong close,Achievement Result,Tactical,Q1 pipeline wins?,Numbers visual,Pipeline success 3,920
